rooms,serie,area,furniture,floor,region,price
2,0,78,1,2,3,63500
3,0,75,1,8,1,63500
3,0,80,1,9,2,63500
3,0,63,1,1,4,63000
3,0,108,1,2,3,63000
2,0,65,1,4,1,63000
3,0,64,1,7,3,63000
3,0,75,1,9,1,63000
3,0,95,1,6,3,63000
3,1,70,1,3,2,60000
2,0,80,1,4,2,59200
3,0,18,1,1,3,59000
2,0,67,1,5,4,59000
3,0,82,1,8,2,50000
3,0,70,1,6,4,50000
3,0,62,1,9,2,50000
2,0,64,1,3,4,50000
2,1,75,1,9,2,50140
2,0,65,1,4,2,50200
2,0,65,1,4,3,50300
2,0,71,1,7,1,50323
2,0,76,1,8,3,50500
2,1,62,1,9,2,50500
1,0,46,1,8,3,50500
2,1,56,1,2,2,50500
3,0,69,1,4,3,50500
3,1,73,1,4,4,50500
1,0,65,1,9,1,50500
2,0,76,1,2,1,50500
2,0,79,1,8,1,50500
2,1,52,1,4,3,50500
3,0,63,1,7,3,50500
3,0,64,1,5,4,50500
3,0,91,1,3,2,50500
2,0,78,1,2,3,50700
2,0,72,1,7,2,50700
2,0,64,1,4,2,50800
2,0,65,1,3,2,50833
2,0,65,1,7,2,50833
2,0,65,1,11,2,50833
2,0,65,1,5,2,50833
2,0,76,1,1,3,50920
2,1,77,1,2,2,51000
2,0,68,1,8,2,51000
2,0,77,0,1,2,51000
3,0,64,1,9,1,51000
3,0,58,1,2,3,51000
3,0,71,1,8,4,51000
2,0,46,1,2,1,51000
2,0,50,1,2,2,51000
2,0,79,1,4,3,51000
3,0,62,1,5,3,51000
3,0,63,1,7,2,51000
3,0,78,1,7,3,51000
2,0,52,1,1,1,51000
2,0,77,0,1,2,51000
2,0,59,1,4,2,51000
2,0,58,1,4,2,51000
2,0,76,1,6,2,51000
3,1,64,1,2,2,51000
3,0,78,1,4,3,51000
3,0,75,1,9,3,51000
3,1,64,1,2,3,51000
2,0,56,1,5,3,39500
2,0,43,1,5,3,39500
2,0,47,1,4,3,39500
2,0,50,1,4,2,39500
2,0,38,1,6,3,39500
2,0,42,1,5,3,39500
2,0,44,1,4,3,39500
2,1,80,1,5,3,39500
2,0,60,1,5,3,39500
2,0,61,1,4,3,39500
2,0,45,1,7,3,39500
2,0,44,1,1,3,39500
2,0,49,1,4,4,39500
3,0,43,1,3,3,39500
3,0,58,1,8,2,39500
1,0,55,1,8,1,39500
1,0,43,1,3,3,39500
1,0,61,1,5,3,39500
1,0,43,1,9,2,39500
1,1,52,0,2,3,39500
1,0,43,1,1,3,39500
1,1,57,1,1,1,39500
1,1,44,1,6,3,39500
1,1,46,1,6,2,39500
2,1,44,1,9,1,39500
2,0,43,1,9,3,39500
2,0,49,1,9,2,39500
2,0,56,1,9,3,39500
2,1,70,1,4,4,39500
2,0,57,1,3,1,39500
2,0,44,1,6,2,39500
2,0,43,1,2,3,39500
2,1,47,1,1,3,39500
2,0,57,1,1,4,39500
2,0,46,1,9,3,39500
2,1,44,1,9,3,39500
2,1,46,1,3,3,39500
2,0,72,1,5,3,39500
2,0,49,1,6,1,39500
3,0,58,1,5,1,39500
3,0,75,1,6,4,39500
2,1,50,1,8,1,39500
2,0,80,1,4,3,39500
2,0,50,1,4,1,39500
3,0,53,1,7,4,39500
2,0,45,1,2,1,39500
2,1,45,1,5,3,39500
2,0,64,1,5,1,39500
2,0,54,1,7,2,39500
3,1,62,0,1,3,39500
2,0,80,1,9,3,39500
2,0,45,1,4,1,39500
1,0,48,1,6,3,39700
2,0,62,1,3,3,39800
1,0,40,1,1,1,39900
2,1,46,1,8,2,39900
2,0,68,1,5,3,39900
4,0,84,1,6,2,40000
2,0,70,1,9,1,40000
3,0,68,1,7,2,40000
3,0,72,1,3,3,40000
3,0,60,1,6,3,40000
2,0,50,1,7,4,40000
2,0,43,1,3,2,40000
3,0,74,1,1,2,40000
2,0,40,1,8,4,40000
2,0,46,1,5,4,40000
1,0,44,1,8,1,40000
2,0,48,1,2,4,40000
2,0,49,1,2,1,40000
1,0,47,1,5,1,40000
2,0,77,0,2,3,40000
1,0,42,1,6,3,40000
1,0,39,1,7,1,40000
2,0,49,1,2,3,40000
2,0,53,0,2,3,40000
2,1,43,1,6,2,40000
2,1,50,1,2,3,40000
2,0,49,0,2,4,40000
3,0,58,1,1,1,40000
3,0,75,1,3,2,40000
3,1,71,1,6,3,40000
3,0,70,1,8,4,40000
1,0,30,1,1,3,40000
1,0,36,1,5,3,40000
2,0,51,1,8,3,40000
1,0,50,1,7,2,40000
2,0,55,1,9,3,40000
2,1,49,1,4,2,40000
2,0,53,1,7,2,40000
2,0,41,1,3,3,40000
2,0,48,1,6,3,40000
2,0,43,1,1,2,40000
2,0,43,1,4,1,40000
2,0,54,1,9,2,40000
2,0,50,1,8,2,40000
3,1,73,1,6,2,40000
3,0,75,1,5,3,40000
3,0,50,1,8,3,40000
3,0,78,1,7,4,40000
3,0,72,1,6,3,40000
2,0,68,1,5,3,47000
2,1,51,1,8,4,47000
3,1,68,1,4,3,47000
3,1,65,1,6,4,47000
1,0,47,1,1,1,47000
2,1,91,1,9,4,47000
2,0,67,1,3,2,47000
2,0,49,1,6,1,47000
2,0,47,1,3,2,47000
2,1,78,1,10,1,47000
2,1,78,1,3,3,47000
2,1,65,1,9,4,47000
2,1,79,1,9,1,47000
2,0,66,1,3,4,47000
3,0,45,1,1,1,47000
3,0,81,1,4,3,47000
3,0,69,1,8,2,47000
3,0,62,1,1,1,47000
3,0,67,1,9,2,47000
3,0,105,1,9,3,47000
3,0,57,1,8,1,47000
3,0,62,1,3,4,47000
1,0,90,1,9,2,47000
1,0,46,1,2,1,47000
1,1,48,1,3,1,47000
1,0,54,1,4,2,47000
1,0,59,1,7,1,47000
2,1,50,1,1,4,47000
2,1,65,1,8,3,47000
2,1,46,1,9,1,47000
2,1,54,1,5,4,47000
2,0,76,1,6,3,47000
2,0,51,1,4,3,47000
2,0,52,1,6,4,47000
2,0,58,1,5,4,47000
2,0,48,1,1,4,47000
2,0,57,1,4,3,47000
2,0,70,1,8,2,47000
2,0,58,1,8,1,47000
2,0,52,1,8,3,47000
2,1,70,1,10,3,47000
2,0,72,1,8,2,47000
2,0,50,1,6,4,47000
2,0,70,1,6,3,47000
2,1,68,1,9,3,47000
2,1,69,1,7,4,47000
3,0,58,1,8,3,47000
3,0,64,1,8,2,47000
3,0,58,1,4,4,47000
4,0,149,1,4,2,200000
4,0,170,1,3,3,200000
1,0,43,1,5,3,200000
3,0,195,1,9,1,200400
4,0,303,1,1,2,201875
1,0,43,1,4,3,200000
5,0,200,1,6,2,204000
4,0,191,1,9,1,204550
4,0,168,1,3,2,205000
3,0,140,1,3,1,205000
4,1,190,1,3,1,205000
5,0,179,1,3,3,205000
5,0,203,1,9,1,205000
3,0,126,1,1,4,205000
3,0,147,0,2,1,206000
1,0,36,1,6,3,210000
4,0,140,1,3,1,210000
4,0,171,1,7,1,210000
5,0,231,0,1,2,210000
4,1,170,1,7,3,212500
3,0,165,1,2,1,214500
4,0,176,1,1,3,215000
4,1,167,1,6,1,215250
4,0,191,1,8,1,215500
3,0,120,1,4,1,216000
5,0,230,1,3,2,220000
3,0,164,1,5,1,220000
4,0,203,1,4,3,220000
4,0,165,1,5,1,220000
4,0,201,1,6,2,220000
4,0,200,1,3,1,225000
4,0,185,1,5,2,225000
4,0,227,1,4,2,227000
3,0,190,1,7,3,230000
4,1,227,1,8,2,230000
4,0,206,1,3,2,230000
5,1,220,1,1,4,233000
4,0,265,1,5,1,235000
3,0,160,1,4,3,250000
4,1,175,1,9,1,250000
3,0,197,1,4,3,255000
3,1,135,1,5,1,255000
4,1,196,1,4,2,255000
4,1,198,1,4,1,255000
4,1,169,1,4,2,255000
5,1,310,1,5,4,255000
4,1,240,1,7,1,255000
3,0,143,1,5,1,255000
5,1,340,1,3,1,260000
2,1,56,1,7,3,260000
4,1,185,1,4,3,260000
4,1,201,1,5,3,260000
4,1,180,1,7,1,267000
4,1,152,1,6,3,270000
4,1,255,1,6,1,270000
4,1,200,1,8,1,270000
4,1,255,1,9,3,270000
4,0,152,1,6,4,270000
5,1,200,1,6,3,270000
4,1,180,1,6,4,275000
3,1,143,1,4,3,275000
4,1,147,1,8,3,275000
4,1,150,1,3,1,275400
4,1,147,1,4,2,280000
5,1,350,1,5,3,280000
4,1,175,1,9,2,280000
5,0,320,1,5,2,280000
4,0,190,1,3,2,280000
5,0,168,1,8,4,280000
5,0,320,1,9,3,280000
4,0,200,1,4,3,280000
4,1,172,1,5,1,285000
4,0,168,1,9,2,285000
5,0,200,1,4,1,285600
5,1,250,1,5,3,287500
5,0,320,1,1,4,290000
5,0,320,1,3,1,290000
4,0,163,1,5,1,299000
4,0,200,1,4,1,300000
4,1,270,1,9,3,300000
4,1,176,1,8,2,300000
3,1,251,1,2,3,302000
4,0,227,1,3,2,302500
4,0,163,1,9,2,306000
5,1,240,1,9,2,307500
4,1,170,1,8,1,310000
5,0,240,1,7,1,312000
4,0,226,1,4,1,320000
5,0,240,1,5,1,330000
4,1,211,1,7,2,350000
5,1,320,1,6,1,360800
5,0,300,1,5,1,360000
3,0,269,1,4,1,380000
5,1,281,1,11,1,398000
3,0,141,1,3,1,400000
4,1,250,1,9,2,410000
4,1,235,1,3,3,420000
5,1,380,1,12,2,420000
5,1,264,1,4,1,448800
5,0,250,1,6,1,450000
5,0,457,1,7,2,480092
5,0,325,1,1,4,500000
5,0,315,0,2,4,540000
5,1,400,1,4,3,700000
2,0,42,1,7,1,32000
1,0,36,1,5,1,32000
2,0,52,1,3,3,32000
2,1,53,1,4,1,32000
1,1,44,1,4,1,32000
1,1,53,1,7,1,32000
2,1,64,1,9,4,32000
1,1,32,1,1,4,32000
1,0,35,1,2,3,32000
2,0,53,1,2,3,32000
2,1,44,1,5,4,32000
2,0,55,1,4,4,32000
2,0,42,1,6,1,32000
2,1,43,1,2,3,32000
2,1,52,1,9,4,32000
2,0,52,1,1,2,32000
2,0,44,1,9,1,32000
2,0,32,1,8,2,32000
2,0,43,1,2,4,32000
2,0,42,1,7,1,32000
2,1,42,1,2,2,32000
2,1,52,1,4,3,32000
2,1,44,1,8,4,32000
1,1,39,1,9,2,32000
1,1,45,1,3,4,32000
1,1,45,1,3,2,32000
1,1,34,1,11,3,32000
1,0,32,1,3,4,32000
1,0,36,1,5,4,32000
1,0,34,1,6,1,32000
1,0,32,1,6,2,32000
1,0,32,1,8,3,32000
1,0,32,1,7,4,32000
1,0,30,1,4,4,32000
1,0,48,1,5,2,32000
1,0,44,1,7,4,32000
1,1,32,1,5,2,32000
1,1,45,1,8,3,39600
1,0,40,0,5,4,27300
1,0,30,1,1,1,23000
1,0,38,1,6,3,23000
1,0,43,1,5,3,23000
2,0,46,0,1,4,23000
2,0,40,1,8,4,23000
2,0,85,1,3,2,87000
1,0,30,1,7,4,23000
1,0,40,0,2,3,23200
1,0,48,0,2,4,23380
1,0,45,1,4,3,23500
1,0,32,0,1,2,23500
1,0,36,1,3,4,23500
1,0,34,0,2,4,23500
1,0,37,1,7,3,23500
1,0,22,1,9,2,23500
1,0,35,1,3,3,23500
1,0,31,1,7,2,23500
1,0,36,1,3,3,23500
,0,31,0,1,2,23500
1,0,31,1,7,2,23500
1,0,18,1,1,2,23500
1,0,32,1,4,2,23500
1,0,25,0,1,3,23500
1,0,43,0,1,3,23500
1,0,38,1,9,2,23500
1,0,31,1,3,2,23500
1,0,30,1,9,4,23500
1,0,23,1,4,3,23500
1,0,40,1,2,3,23500
1,0,47,1,5,4,23500
2,0,39,1,6,1,23500
1,0,36,0,1,4,23500
2,0,90,1,1,1,86700
2,0,85,1,2,1,86500
1,0,44,1,1,2,23718
1,0,33,1,4,2,23800
1,0,38,1,8,2,23940
1,0,40,1,5,1,24000
1,0,34,1,7,4,24000
1,0,21,1,2,"2
",24000
1,0,48,0,2,4,24000
1,0,36,1,5,1,24000
1,0,44,1,2,3,24000
1,0,44,0,2,3,24000
1,0,45,0,1,3,24000
2,0,80,1,1,4,24000
3,0,56,1,1,3,24000
1,0,33,1,7,4,24000
1,0,44,1,4,3,24000
1,0,30,1,3,4,24000
2,0,48,1,6,1,24000
3,0,76,0,2,1,24000
1,0,30,1,7,2,24000
1,0,32,1,3,"4
",24000
1,0,34,1,6,2,24000
2,0,39,1,7,1,24000
1,0,39,1,1,3,24960
1,0,28,1,1,2,25000
1,0,30,1,5,1,25000
1,0,29,1,5,2,25000
1,0,37,1,4,3,25000
1,0,44,1,2,3,25000
3,0,33,0,1,2,25000
1,0,56,1,1,1,25000
1,0,24,1,2,3,25000
3,0,61,1,1,1,52000
3,0,68,1,4,1,68000
2,0,58,1,1,1,45000
3,1,90,1,1,2,63900
3,0,117,1,5,1,79000
2,0,75,1,2,3,35000
2,0,69,1,3,2,42900
2,1,75,0,2,1,54000
2,0,43,1,8,3,21500
2,0,67,1,5,2,30400
2,0,45,0,1,1,30500
2,0,78,1,9,3,31000
3,0,143,0,2,1,250000
3,0,156,0,1,1,249500
3,0,140,0,2,1,180000
3,0,160,1,6,2,180000
3,1,130,1,1,2,175000
3,0,266,1,5,3,172900
3,1,126,1,10,2,170000
3,0,115,1,1,1,170000
3,0,130,0,2,2,155000
3,0,155,1,6,4,160000
3,0,160,1,4,2,155000
3,0,111,1,8,1,155000
3,0,125,1,3,2,155000
3,0,126,1,9,4,135000
3,0,107,0,1,3,135000
3,0,180,1,4,2,135000
3,0,115,1,5,3,133000
3,0,120,1,1,1,130000
3,0,100,0,2,1,130000
3,0,82,1,8,1,130000
3,0,125,1,1,1,130000
3,0,135,1,8,1,130000
3,0,112,1,4,1,126000
3,0,130,1,5,1,125000
3,0,110,1,6,2,125000
3,0,133,1,9,1,125000
3,0,101,1,2,3,125000
3,0,124,1,5,1,125000
3,0,115,1,2,1,125000
3,0,165,1,1,1,122000
3,0,102,0,1,1,122000
3,0,216,1,8,1,120000
3,0,109,1,1,2,120000
3,0,87,1,1,2,120000
3,0,157,1,2,1,120000
3,0,98,1,2,3,120000
3,0,118,1,1,3,115000
3,0,133,1,1,2,115000
3,0,96,1,1,1,115000
3,0,139,1,5,1,115000
3,0,110,1,9,2,113000
3,0,136,1,3,2,113000
3,0,121,0,1,1,112500
3,0,105,1,3,3,112000
3,0,164,0,2,4,110000
3,0,118,1,8,4,110000
3,0,105,1,1,3,110000
3,0,103,1,4,1,110000
3,0,110,1,5,3,109680
2,0,97,1,3,4,107000
3,0,115,1,1,2,105000
3,0,105,1,1,1,105000
3,1,128,1,1,2,100000
3,0,101,1,9,2,100000
3,0,81,1,8,3,100000
3,0,105,1,9,1,100000
3,0,94,1,4,2,100000
3,0,120,1,6,3,99000
3,0,96,1,8,3,98000
3,0,115,1,8,1,97500
2,0,78,1,8,1,95000
3,0,100,1,3,1,95000
3,0,149,1,9,3,95000
3,0,108,1,6,2,95000
3,0,118,1,2,3,95000
3,0,100,1,9,2,95000
3,0,100,1,4,1,95000
3,0,100,1,2,3,93000
3,0,123,1,7,4,92250
3,0,129,1,9,4,92000
2,0,76,1,2,1,92000
3,0,86,1,2,3,92000
3,0,75,1,4,1,91000
3,0,130,1,5,1,91000
3,0,115,1,6,2,90000
3,0,121,1,5,1,90000
3,0,100,1,1,2,90000
3,0,80,0,1,3,90000
2,0,63,1,8,3,90000
3,0,113,1,6,1,87000
2,0,69,1,2,1,85000
3,0,80,1,1,1,85000
3,1,91,1,1,2,85000
3,0,95,1,2,2,85000
3,0,90,1,6,1,85000
2,0,70,1,6,2,85000
2,0,78,1,5,1,85000
3,1,132,1,6,3,84480
3,0,102,1,8,2,84000
3,0,97,1,6,3,83000
3,0,78,0,2,4,83000
2,0,65,1,2,2,82900
2,0,72,1,5,2,81000
3,0,125,1,5,4,81000
3,0,105,1,7,3,80000
2,0,77,1,2,1,80000
3,0,117,1,2,3,80000
3,0,78,1,2,2,80000
3,0,81,1,3,2,80000
2,1,74,1,2,4,80000
3,0,117,1,6,1,79000
2,0,86,1,7,1,79000
2,0,86,1,6,1,78800
2,0,98,1,5,1,78000
2,0,87,1,5,2,78000
3,0,90,1,6,2,78000
3,0,91,1,5,1,77350
3,0,88,1,4,1,77000
